SPECIES_NAME,COMMON_NAME,SPECIES_CODE,GUILD
Lophiidae,Anglerfishes nei,ANF,benthic
Trisopterus luscus,Pouting(=Bib),BIB,NA
Scophthalmus rhombus,Brill,BLL,benthic
Spondyliosoma cantharus,Black seabream,BRB,NA
Dicentrarchus labrax,European seabass,BSS,demersal
Anarhichas lupus,Atlantic wolffish,CAA,benthic
Chondrichthyes,Cartilaginous fishes nei,CAR,elasmobranch
Clupeoidei,Clupeoids nei,CLU,pelagic
Bivalvia,"Clams, etc. nei",CLX,NA
Crangon spp,Crangon shrimps nei,CNZ,crustacean
Cerastoderma edule,Common edible cockle,COC,NA
Gadus morhua,Atlantic cod,COD,demersal
Conger conger,European conger,COE,NA
Cancer pagurus,Edible crab,CRE,crustacean
Crustacea,Marine crustaceans nei,CRU,crustacean
Crangon crangon,Common shrimp,CSH,crustacean
Sepia officinalis,Common cuttlefish,CTC,NA
Limanda limanda,Common dab,DAB,benthic
"Squalidae, Scyliorhinidae",Dogfishes and hounds nei,DGH,elasmobranch
Squalus acanthias,Picked dogfish,DGS,elasmobranch
Squalus spp,Dogfishes nei,DGZ,elasmobranch
Osteichthyes,Diadromous fishes nei,DIA,NA
Perciformes,Demersal percomorphs nei,DPX,NA
Anguilla anguilla,European eel,ELE,NA
Osteichthyes,Finfishes nei,FIN,NA
Platichthys flesus,European flounder,FLE,benthic
Gadiformes,Gadiformes nei,GAD,NA
Eutrigla gurnardus,Grey gurnard,GUG,demersal
Aspitrigla cuculus,Red gurnard,GUR,demersal
Chelidonichthys lucerna,Tub gurnard,GUU,NA
Triglidae,"Gurnards, searobins nei",GUX,NA
Melanogrammus aeglefinus,Haddock,HAD,demersal
Hippoglossus hippoglossus,Atlantic halibut,HAL,benthic
Clupea harengus,Atlantic herring,HER,pelagic
Merluccius merluccius,European hake,HKE,demersal
Trachurus trachurus,Atlantic horse mackerel,HOM,pelagic
Invertebrata,Aquatic invertebrates nei,INV,NA
Trachurus spp,Jack and horse mackerels nei,JAX,pelagic
Zeus faber,John dory,JOD,NA
Homarus gammarus,European lobster,LBE,crustacean
Microstomus kitt,Lemon sole,LEM,benthic
Lepidorhombus spp,Megrims nei,LEZ,NA
Molva molva,Ling,LIN,demersal
Scomber scombrus,Atlantic mackerel,MAC,pelagic
Melanocharacidium blennioides,,MEB,NA
Lepidorhombus whiffiagonis,Megrim,MEG,benthic
Liza ramada,Thinlip grey mullet,MGC,NA
Lophius spp,Monkfishes nei,MNZ,benthic
Mollusca,Marine molluscs nei,MOL,NA
Mullus surmuletus,Surmullet,MUR,demersal
Mytilus edulis,Blue mussel,MUS,NA
Osteichthyes,Marine fishes nei,MZZ,NA
Nephrops norvegicus,Norway lobster,NEP,crustacean
Octopus spp,Octopuses nei,OCZ,NA
Ostrea edulis,European flat oyster,OYF,NA
Littorina littorea,Common periwinkle,PEE,NA
Sardina pilchardus,European pilchard(=Sardine),PIL,pelagic
Pleuronectes platessa,European plaice,PLE,benthic
Pollachius virens,Saithe(=Pollock),POK,pelagic
Pollachius pollachius,Pollack,POL,demersal
Lamna nasus,Porbeagle,POR,elasmobranch
Perciformes,Pelagic percomorphs nei,PPX,pelagic
Sebastes spp,Atlantic redfishes nei,RED,NA
Raja batis,Blue skate,RJB,elasmobranch
Raja clavata,Thornback ray,RJC,elasmobranch
Raja microocellata,Small-eyed ray,RJE,elasmobranch
Raja brachyura,Blonde ray,RJH,elasmobranch
Raja circularis,Sandy ray,RJI,elasmobranch
Raja montagui,Spotted ray,RJM,elasmobranch
Raja naevus,Cuckoo ray,RJN,elasmobranch
Raja radiata,Starry ray,RJR,elasmobranch
Sparidae,"Porgies, seabreams nei",SBX,NA
Pecten maximus,Great Atlantic scallop,SCE,NA
Scyliorhinus spp,"Catsharks, nursehounds nei",SCL,elasmobranch
Mustelus spp,Smooth-hounds nei,SDV,elasmobranch
Raja spp,Raja rays nei,SKA,elasmobranch
Selachimorpha (Pleurotremata),Various sharks nei,SKH,elasmobranch
Mustelus mustelus,Smooth-hound,SMD,elasmobranch
Solea solea,Common sole,SOL,benthic
Solea lascaris,Sand sole,SOS,benthic
Sprattus sprattus,European sprat,SPR,pelagic
Loligo spp,Common squids nei,SQC,NA
Loliginidae,Inshore squids nei,SQZ,NA
Acipenseridae,Sturgeons nei,STU,NA
Scyliorhinus canicula,Small-spotted catshark,SYC,elasmobranch
Scyliorhinus stellaris,Nursehound,SYT,elasmobranch
Psetta maxima,Turbot,TUR,benthic
Brosme brosme,Tusk(=Cusk),USK,demersal
Trachinus draco,Greater weever,WEG,NA
Buccinum undatum,Whelk,WHE,NA
Merlangius merlangus,Whiting,WHG,demersal
Glyptocephalus cynoglossus,Witch flounder,WIT,benthic
Labridae,"Wrasses, hogfishes, etc. nei",WRA,NA
Pandalus montagui,Aesop shrimp,AES,crustacean
Alepocephalus bairdii,Baird's slickhead,ALC,NA
Engraulis encrasicolus,European anchovy,ANE,pelagic
Apogonidae,"Cardinalfishes, etc. nei",APO,NA
Argentina spp,Argentines,ARG,demersal
Argentina silus,Greater argentine,ARU,NA
Argentina sphyraena,Argentine,ARY,NA
Thunnus thynnus,Atlantic bluefin tuna,BFT,pelagic
Molva dypterygia,Blue ling,BLI,demersal
